,distance_nm,Avg_No_density_per_nm_sq,StdDev_No_density_per_nm_sq
0,-0.5,0.0,0.0
1,-0.49000000000000005,0.0,0.0
2,-0.48,0.0,0.0
3,-0.4699999999999999,0.0,0.0
4,-0.4600000000000001,0.0,0.0
5,-0.45,0.0,0.0
6,-0.44000000000000006,0.0,0.0
7,-0.43,0.0,0.0
8,-0.4199999999999998,0.0,0.0
9,-0.41,0.0,0.0
10,-0.3999999999999999,0.0,0.0
11,-0.3899999999999999,0.0,0.0
12,-0.3799999999999999,0.0,0.0
13,-0.3699999999999999,0.0,0.0
14,-0.3599999999999999,0.0,0.0
15,-0.3499999999999999,0.0,0.0
16,-0.33999999999999986,0.0,0.0
17,-0.32999999999999985,0.0,0.0
18,-0.31999999999999984,0.0,0.0
19,-0.30999999999999983,0.0,0.0
20,-0.2999999999999998,0.0,0.0
21,-0.2899999999999998,0.0,0.0
22,-0.2799999999999998,0.0,0.0
23,-0.2699999999999998,0.0,0.0
24,-0.2599999999999998,0.0,0.0
25,-0.24999999999999972,0.0014293209295272683,0.00013979844911006018
26,-0.2399999999999997,0.06534038534981798,0.002795968982201202
27,-0.22999999999999976,1.3076755089892869,0.012721658869015391
28,-0.2199999999999997,9.192626511078572,0.014399240258335385
29,-0.2099999999999997,31.435106250269264,0.13630348788231011
30,-0.19999999999999973,65.19980142696377,0.11994706933644333
31,-0.18999999999999967,95.33223479149706,0.005032744167951226
32,-0.17999999999999972,114.16027101875136,0.09100879037063427
33,-0.1699999999999997,118.30724150707051,0.4413437038404593
34,-0.1599999999999997,112.4325282980092,0.08583624775357977
35,-0.1499999999999997,105.55014383363121,0.1630049916623287
36,-0.13999999999999968,96.84573251433831,0.23723796813978443
37,-0.12999999999999967,87.67204450557598,0.19599742565230382
38,-0.11999999999999963,77.6351997969073,0.17460826293846052
39,-0.10999999999999963,66.41906322702657,0.1402178444573982
40,-0.09999999999999963,53.82975762127855,0.0768891470105346
41,-0.08999999999999964,40.119047651964294,0.13881985996628765
42,-0.07999999999999963,27.965021316433383,0.06724305402193419
43,-0.06999999999999962,17.436643349535526,0.11002137944961886
44,-0.05999999999999961,9.979365588431223,0.05787655793156364
45,-0.0499999999999996,5.598701128134364,0.026701503780021993
46,-0.039999999999999584,3.304743130595208,0.0589949455244455
47,-0.029999999999999583,2.1629198966071383,0.017894201486087887
48,-0.01999999999999957,1.677920676912904,0.011882868174355028
49,-0.009999999999999565,1.353209590029941,0.003914356575081893
50,4.440892098500626e-16,1.3048168671302323,0.0018173798384308049
51,0.010000000000000451,1.3619386571352685,0.009086899192153903
52,0.020000000000000462,1.6478538902167768,0.019991178222738607
53,0.030000000000000464,2.2112105251547383,0.06304910054863712
54,0.04000000000000048,3.3682458176070624,0.1543374878175064
55,0.05000000000000049,5.656894908836546,0.2881246036158338
56,0.0600000000000005,9.953586764523678,0.4283424480732257
57,0.0700000000000005,17.44118654820438,0.4800678742439468
58,0.08000000000000053,27.870839276612752,0.5530426646793952
59,0.09000000000000052,40.54621042118873,0.5790451762138663
60,0.1000000000000005,53.99060727302642,0.5875728816095861
61,0.11000000000000054,66.69037896775647,0.1541976893683946
62,0.12000000000000055,77.50676510195407,0.058435751728007856
63,0.13000000000000056,87.50302730565936,0.4110074403835942
64,0.14000000000000054,96.70086062869548,0.536266850786172
65,0.15000000000000058,105.53605481304017,0.5863146955676022
66,0.1600000000000006,113.5644483798427,0.7691710670035604
67,0.1700000000000006,118.01428176369345,0.712832292012195
68,0.1800000000000006,113.84326805545263,0.7522554546612397
69,0.1900000000000006,95.3380541695673,0.09324556555641113
70,0.20000000000000068,65.7617287409722,0.23933494487641913
71,0.21000000000000069,31.78835270856672,0.4375691457144881
72,0.22000000000000064,9.430812634549081,0.21542941007860117
73,0.23000000000000065,1.336364021931941,0.058295953278895224
74,0.24000000000000066,0.06896473484969069,0.004613348820631984
75,0.2500000000000007,0.0013272265774181777,0.00041939534733018017
76,0.2600000000000007,0.0,0.0
77,0.2700000000000007,0.0,0.0
78,0.2800000000000007,0.0,0.0
79,0.2900000000000007,0.0,0.0
80,0.3000000000000007,0.0,0.0
81,0.3100000000000007,0.0,0.0
82,0.32000000000000073,0.0,0.0
83,0.33000000000000074,0.0,0.0
84,0.34000000000000075,0.0,0.0
85,0.35000000000000075,0.0,0.0
86,0.3600000000000008,0.0,0.0
87,0.3700000000000008,0.0,0.0
88,0.3800000000000008,0.0,0.0
89,0.3900000000000008,0.0,0.0
90,0.4000000000000008,0.0,0.0
91,0.41000000000000086,0.0,0.0
92,0.4200000000000008,0.0,0.0
93,0.43000000000000077,0.0,0.0
94,0.4400000000000007,0.0,0.0
95,0.4500000000000008,0.0,0.0
96,0.46000000000000096,0.0,0.0
97,0.4700000000000009,0.0,0.0
98,0.480000000000001,0.0,0.0
99,0.49000000000000093,0.0,0.0
